app_name,rating,rank,bigram,count
Microsoft%20Word,5.0,5,good work,1400
Microsoft%20Word,5.0,6,editing documents,1300
Microsoft%20Word,5.0,7,good experience,1200
Microsoft%20Word,5.0,8,work easy,1200
Microsoft%20Word,5.0,9,nice easy,1200
Microsoft%20Word,5.0,10,easy navigate,1100
Netflix,,1,part household,500
Netflix,,2,shows movies,400
Netflix,,3,netflix subscription,400
Netflix,,4,m part,400
Netflix,,5,playing video,400
Netflix,,6,watched list,300
Netflix,,7,home page,300
Netflix,,8,ve paid,300
Netflix,,9,earned money,300
Netflix,,10,hard earned,300
Netflix,1.0,1,doesn work,5400
Netflix,1.0,2,customer service,4600
Netflix,1.0,3,waste money,4600
Netflix,1.0,4,watch netflix,3900
Netflix,1.0,5,part household,3600
Netflix,1.0,6,streaming service,3300
Netflix,1.0,7,watch anything,3100
Netflix,1.0,8,won let,3000
Netflix,1.0,9,m paying,2900
Netflix,1.0,10,shows movies,2800
Netflix,2.0,1,tv shows,1000
Netflix,2.0,2,shows movies,900
Netflix,2.0,3,doesn work,900
Netflix,2.0,4,movies series,800
Netflix,2.0,5,watch movies,700
Netflix,2.0,6,watch movie,700
Netflix,2.0,7,movies shows,700
Netflix,2.0,8,watch netflix,700
Netflix,2.0,9,good shows,700
Netflix,2.0,10,watch anything,600
Netflix,3.0,1,love netflix,1500
Netflix,3.0,2,movies shows,1100
Netflix,3.0,3,good movies,1000
Netflix,3.0,4,netflix good,800
Netflix,3.0,5,shows movies,800
Netflix,3.0,6,picture picture,700
Netflix,3.0,7,like netflix,700
Netflix,3.0,8,netflix great,600
Netflix,3.0,9,hindi dubbed,600
Netflix,3.0,10,watch movies,600
Netflix,4.0,1,love netflix,1000
Netflix,4.0,2,movies series,800
Netflix,4.0,3,netflix good,700
Netflix,4.0,4,movies shows,600
Netflix,4.0,5,tv shows,500
Netflix,4.0,6,watching movies,500
Netflix,4.0,7,squid game,500
Netflix,4.0,8,watch netflix,500
Netflix,4.0,9,netflix great,500
Netflix,4.0,10,best streaming,400
Netflix,5.0,1,love netflix,11300
Netflix,5.0,2,movies series,4800
Netflix,5.0,3,shows movies,3800
Netflix,5.0,4,watch movies,3700
Netflix,5.0,5,movies shows,3500
Netflix,5.0,6,watching movies,3100
Netflix,5.0,7,netflix best,2900
Netflix,5.0,8,high quality,2600
Netflix,5.0,9,best ever,2500
Netflix,5.0,10,tv shows,2400
SHAREit,,1,something went,200
SHAREit,,2,coin redemption,200
SHAREit,,3,redemption system,200
SHAREit,,4,went wrong,200
SHAREit,,5,free money,100
SHAREit,,6,expected least,100
SHAREit,,7,free vouchers,100
SHAREit,,8,shop required,100
SHAREit,,9,give stars,100
SHAREit,,10,like messages,100
SHAREit,1.0,1,doesn work,2400
SHAREit,1.0,2,full ads,1200
SHAREit,1.0,3,without permission,1000
SHAREit,1.0,4,ads notifications,900
SHAREit,1.0,5,worst ever,900
SHAREit,1.0,6,bad experience,800
SHAREit,1.0,7,inappropriate ads,700
SHAREit,1.0,8,ads annoying,700
SHAREit,1.0,9,worst experience,700
SHAREit,1.0,10,shows ads,600
SHAREit,2.0,1,full ads,600
SHAREit,2.0,2,sharing files,300
SHAREit,2.0,3,ads notifications,300
SHAREit,2.0,4,spam notifications,200
SHAREit,2.0,5,trick users,200
